Business Name,Industry,Location,Asking Price,Revenue,EBITDA,Years in Operation,Broker or Seller Contact,Listing URL,Source
<<<<<<< HEAD
Tree Trimming & Removal and Hedge Care,Not Specified,Not Specified,2000000,1300000,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/tree-trimming-and-removal-and-hedge-care/2460556/,BizBuySell
BizQuest Business Listing,Not Specified,Not Specified,1165000,1100000,0,Not Disclosed,Not Available,https://www.bizquest.com/business-for-sale/established-full-service-sign-and-graphics-business/BW2460509/,BizQuest
"Medical Office Dev Site | NE Philadelphia 8000 Old York Rd
0.4 Acres of Commercial Land Online Auction Sale Elkins Park, PA 19027",Real Estate,Not Specified,0,0,0,Not Disclosed,Not Available,https://www.loopnet.com/Listing/8000-Old-York-Rd-Elkins-Park-PA/31405328/,LoopNet
=======
Property Damage Recovery and Mitigation Business,Not Specified,Not Specified,249000,714833,0,Not Disclosed,Not Available,https://www.bizbuysell.com/business-opportunity/property-damage-recovery-and-mitigation-business/2459304/,BizBuySell
BizQuest Business Listing,Not Specified,Not Specified,450000,560000,175000,Not Disclosed,Not Available,https://www.bizquest.com/business-for-sale/highly-profitable-and-established-community-coffee-house/BW2459134/,BizQuest
"Upgraded 2nd Gen Restaurant & Bar 2148 Beltline Rd SW
7,237 SF Vacant Retail Building Online Auction Sale Decatur, AL 35601",Real Estate,Not Specified,0,0,0,Not Disclosed,Not Available,https://www.loopnet.com/Listing/2148-Beltline-Rd-SW-Decatur-AL/37959140/,LoopNet
>>>>>>> 7ba3c8725efb6a2051e9ac9233640be8c397066a
